"location";"street";"zip";"city";"charge";"carrier";"area";"longitude";"latitude"
"Bruno-Lösche-Bibliothek";"Perleberger Str. 33";"10559";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich der Bibliothek ";"13.35";"52.53"
"Hansabibliothek";"Altonaer Str. 15 ";"10557";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich/Lesegarten ";"13.34";"52.52"
"(at)hugo Jugendmedienetage in der Hugo-Heimann-Bibliothek";"Swinemünder Str. 80";"13355";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.40";"52.54"
"Kurt-Tucholsky-Bibliothek";"Rostocker Str. 32b";"10553";"Berlin";"kostenfrei";"HOTSPLOTS";"";"13.33";"52.53"
"Schiller-Bibliothek im Rathaus Wedding";"Müllerstr. 147";"13353";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.36";"52.55"
"Haus Berliner Stadtbibliothek (Zentral- und Landesbibliothek Berlin)";"Breite Straße 30-36";"10178";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.40";"52.52"
"Zentral- und Landesbibliothek Berlin in der Humboldt-Box";"Schloßplatz 1";"10178";"Berlin";"kostenfrei";"HOTSPLOTS";"";"13.40";"52.52"
"Hauptbibliothek Helene-Nathan-Bibliothek in den Neukölln Arcaden";"Karl-Marx-Str. 66 ";"12043";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.43";"52.48"
"Stadtteilbibliothek im Gemeinschaftshaus";"Bat-Yam-Platz 1";"12353";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"0.00";"0.00"
"Staatliche Fachschule für Sozialpädagogik";" Erbeskopfweg 6-10";"13158";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.40";"52.59"
"Humboldt Bibliothek";"Karolinenstr. 19";"13507";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.28";"52.59"
"Stadtteilbibliothek Märkisches Viertel im Fontanehaus";"Königshorster Str. 6 ";"13439";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich; VPN-Routing";"13.35";"52.60"
"Bezirkszentralbibliothek ";"Carl-Schurz-Str. 13";"13597";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.20";"52.54"
"Stadtteilbibliothek Kladow";"Sakrower Landstr. 2";"14089";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.13";"52.45"
"Gottfried-Benn-Bibliothek";"Nentershäuser Platz 1";"14163";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich/Lesegarten";"13.26";"52.43"
"Ingeborg-Drewitz-Bibliothek";"Grunewaldstr. 3";"12165";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.32";"52.46"
"Bezirkszentralbibliothek „Eva-Maria-Buch-Haus“ ";"Götzstr. 8";"12099";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.39";"52.46"
"Mittelpunktbibliothek Schöneberg Theodor-Heuss-Bibliothek";"Hauptstr. 40";"10827";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.35";"52.48"
"Stadtteilbibliothek Lichtenrade Edith-Stein-Bibliothek";"Briesingstr. 6";"12307";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"0.00";"0.00"
"Manfred-Bofinger-Bibliothek";"Karl-Kunger-Str. 30";"12435";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.45";"52.49"
"Mittelpunktbibliothek Treptow ";"Winckelmannstraße 56";"12487";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.51";"52.44"
"Stadtteilbibliothek Adlershof ";"Dörpfeldstrasse 54";"12489";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.54";"52.44"
"Stadtteilbibliothek Friedrichshagen ";"Peter-Hille-Straße 1";"12587";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.62";"52.45"
"Mittelpunktbibliothek Köpenick";"Alter Markt 2";"12555";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.58";"52.45"
"Spandauer Str. / G.-Böß-Str. (hint. Roten Rath.)";"Spandauer Str. 29";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.40";"52.52"
"Spandauer Str. / K. - Liebknecht - Str.";"Spandauer Str. 4";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.40";"52.52"
"Krausnickstr. 1 / Oranienburger Str";"Krausnickstraße 1";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.40";"52.52"
"Mühlendamm 1 - 2 / Molkenmarkt";"Mühlendamm 1-2";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.41";"52.52"
"Gertraudenstr. / Fischerinsel (Ahornbl.)";"Gertraudenstraße 20";"10178";"Berlin ";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.41";"52.51"
"Kurstr. (Spindlerbrunnen ) am Spittelmarkt";"Kurstraße 22";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.40";"52.51"
"Neumannsgasse 1 / Breite Str.";"Neumanngasse 1";"10178";"Berlin ";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"0.00";"0.00"
"Münzstr. / Alte Schönhauser Str.";"Alte Schönhauser Str. 29";"10119";"Berlin ";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.41";"52.53"
"Alte Schönhauser / Mulackstr.";"Mulackstraße 36-41";"10119";"Berlin ";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.41";"52.53"
"Karl-Liebknechtstr. / Dirksenstr.";"Karl-Liebknecht- Straße 13 A";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.41";"52.52"
"Karl-Liebknechtstr. 31.";"Karl-Liebknechtstr. 31.";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.41";"52.52"
"Tucholskystr. 35 / Auguststr";"Tucholskystraße 35";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.39";"52.53"
"Koppenplatz / Auguststr.";"Koppenplatz 1-2";"10115";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.40";"52.53"
"Tucholskystr. / Linienstr.";"Tucholskystraße 48";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.39";"52.53"
"Rosenthaler Str. / Auguststr.";"Auguststraße 44";"10119";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.40";"52.53"
"Rosenthaler Str. / Sophienstr.";"Rosenthalerstraße 31";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.40";"52.53"
"Kl. Präsidentenstr. / Burgstr. (hint.S-Bahn.)";"Kleine Präsidentenstraße 4";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.40";"52.52"
"Unter den Linden / Neustädtische Kirchstr.";"Unter den Linden 40";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.39";"52.52"
"Dorotheenstr. / Neustädtische Kirchstr";"Dorotheenstraße 74-76";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.38";"52.52"
"Dorotheenstr. / Wilhelmstr.";"Dorotheenstraße 93";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.38";"52.52"
"Dorotheenstr. 35 / Charlottenstr.";"Dorotheenstraße 35";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.39";"52.52"
"Am Weidendamm / Plankstr";"Am Weidendamm 1 A";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.39";"52.52"
"Dorotheenstr. (ggü Maxim-Gorki-Theater)";"Dorotheenstraße 11";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.39";"52.52"
"Am Kupfergraben ggü  Bodemuseum";"Am Kupfergraben 2";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.40";"52.52"
"Charlottenstr. 46";"Charlottenstr. 38-46";"10117";"Berlin ";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.39";"52.51"
"Brunnenstr. / Veteranenstr.";"Veteranenstraße 27-28";"10119";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.40";"52.53"
"Anklamer Str. / Fehrbelliner Str.";"Anklamer Straße 19-22";"10115";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.40";"52.53"
"Weinbergsweg 1";"Weinbergsweg 1";"10119";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.40";"52.53"
"Kastanienallee / Schwedter Str.";"Kastanienallee 70";"10119";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.41";"52.54"
"Kastanienallee / Fehrbelliner Str.";"Weinbergsweg 12-14";"10119";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.40";"52.53"
"Mohrenstr. 32 / Markgrafenstr.";"Mohrenstraße 32";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Gendarmenmarkt";"13.39";"52.51"
"Charlottenstr. / Taubenstr.";"Gendarmenmarkt";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Gendarmenmarkt";"13.39";"52.51"
"Französische Str. / Markgrafenstr.";"Französische Straße 27 A";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Gendarmenmarkt";"13.39";"52.51"
"Karl - Marx - Allee 4";"Karl - Marx - Allee 4";"10178";"Berlin";"kostenfrei";"Kabel Deutschland";"Alexanderplatz";"13.42";"52.52"
"Linienstr. / Oranienburger Str.";"Linienstraße 134";"10115";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.39";"52.53"
"Friedrichstr. 131 / Reinhardtstr.";"Friedrichstraße 131";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Hackescher Markt";"13.39";"52.53"
"Wilhelmstr. / Behrenstr.";"Wilhelmstraße 76";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Unter den Linden";"13.38";"52.51"
"Kastanienallee / Oderberger Str.";"Oderberger Straße 32-53";"10435";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.41";"52.54"
"Schönhauser Allee 142";"Schönhauser Allee 142";"10437";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.41";"52.54"
"Pappelallee / Danziger Str.";"Pappelallee 1";"10437";"Berlin";"kostenfrei";"Kabel Deutschland";"Kastanienallee";"13.41";"52.54"
"Knaackstr. 37";"Knaackstraße 37";"10435";"Berlin";"kostenfrei";"Kabel Deutschland";"Kollwitzplatz";"13.42";"52.54"
"Wörther Str. 13";"Wörther Straße 13";"10435";"Berlin";"kostenfrei";"Kabel Deutschland";"Kollwitzplatz";"13.42";"52.54"
"Knaackstr. / Wörther Str.";"Knaackstraße 52";"10435";"Berlin";"kostenfrei";"Kabel Deutschland";"Kollwitzplatz";"13.41";"52.54"
"Senatsverwaltung für Wirtschaft, Technologie und Forschung";"Martin- Luther- Str. 105";"10825";"Berlin";"kostenfrei";"Kabel Deutschland";"Innenbereich";"13.35";"52.48"
"John-Foster-Dulles-Allee 10/ Haus der Kulturen";"John-Foster-Dulles-Allee 10";"10557";"Berlin";"kostenfrei";"Kabel Deutschland";"Tiergarten  ";"13.36";"52.52"
"Fasanenstraße 75 (vor BHI - Dresdner Bank)";"Fasanenstraße 75";"10623";"Berlin";"kostenfrei";"Kabel Deutschland";"Kurfürstendamm";"13.33";"52.50"
"Straße des 17. Juni 145 / Ecke Ernst- Reuter Platz";"Straße des 17. Juni 145";"10623";"Berlin";"kostenfrei";"Kabel Deutschland";"Kurfürstendamm";"13.33";"52.51"
"Kantstraße 162";"Kantstraße 162";"10623";"Berlin";"kostenfrei";"Kabel Deutschland";"Kurfürstendamm";"13.33";"52.51"
"Maaßenstraße 1";"Maaßenstraße 1";"10777";"Berlin";"kostenfrei";"Kabel Deutschland";"Nollendorfplatz";"13.35";"52.50"
"Meierottostraße/ Bundesallee";"Meierottostraße";"10719";"Berlin";"kostenfrei";"Kabel Deutschland";"Fasanenplatz";"13.33";"52.50"
"Potsdamer Str. / Scharounstr. ";"Potsdamer Str.";"10785";"Berlin";"kostenfrei";"Kabel Deutschland";"Potsdamer Platz";"13.37";"52.51"
"Potsdamer Str. / Schöneberger Ufer (Kneipe)";"Schöneberger Ufer 51";"10785";" Berlin ";"kostenfrei";"Kabel Deutschland";"Potsdamer Platz";"13.37";"52.50"
"Linkstraße 10";"Linkstraße 10";"10785";"Berlin";"kostenfrei";"Kabel Deutschland";"Potsdamer Platz";"13.37";"52.51"
"In den Ministergärten 7 / Ecke Ebertstr.";"In den Ministergärten 7";"10117";"Berlin";"kostenfrei";"Kabel Deutschland";"Potsdamer Platz";"13.38";"52.51"
"Potsdamer Str./ Ludwig- Beck-Str. ";"Potsdamer Str. 5";"10785";"Berlin";"kostenfrei";"Kabel Deutschland";"Potsdamer Platz";"13.37";"52.51"
"Bürgeramt ";"Hohenzollerndamm 177";"10713";"Berlin";"kostenfrei";"Kabel Deutschland";"Bürgeramt Innenbereich";"13.31";"52.49"
